Size,Plain,Auto,AVX
1310956,0.00471391,0.000206455,0.000148342
1311482,0.00476497,0.000208295,0.000150413
1327212,0.00477393,0.000207768,0.000151056
1357471,0.00488745,0.000207059,0.000153186
1359406,0.00489056,0.000213607,0.000153493
1359640,0.00489448,0.000205173,0.000152452
1362720,0.00490463,0.000215779,0.000154974
1389658,0.00500245,0.000216097,0.000159161
1390466,0.00500247,0.00021588,0.00015928
1398154,0.00504461,0.000217333,0.000154136
1411549,0.00507927,0.000208344,0.000159999
1412093,0.00508217,0.00020715,0.000148255
1418730,0.00498541,0.000201901,0.00014492
1421408,0.0050021,0.000224219,0.000145311
1451678,0.00511,0.000213313,0.000133452
1453910,0.00510855,0.000208568,0.000145618
1465598,0.00513475,0.000204353,0.000158288
1481295,0.00520035,0.000205327,0.000154988
1486265,0.00521427,0.00021001,0.000149858
1502535,0.00526097,0.000208641,0.000147225
1507459,0.00528515,0.000212035,0.000154125
1509374,0.00528859,0.000203225,0.000154101
1514401,0.00530178,0.000212304,0.000154349
1515481,0.00530623,0.00021001,0.000153706
1523463,0.00534782,0.000207241,0.000154188
1527501,0.00535487,0.000226353,0.000149313
1531034,0.0053967,0.000211518,0.00015313
1547835,0.0054414,0.000206165,0.000155396
1557796,0.00547728,0.000216596,0.000156542
1558335,0.00548293,0.000206353,0.000155327
1584415,0.0055923,0.000215517,0.000160736
1587196,0.00556376,0.000230882,0.000161284
1587950,0.0055815,0.00020451,0.000165276
1590400,0.005574,0.000217238,0.000167874
1594560,0.00560806,0.000235101,0.000175742
1595858,0.00559901,0.000230477,0.000145136
1596212,0.00564968,0.000212636,0.000163767
1600561,0.00563403,0.00021068,0.000163795
1615063,0.00565703,0.000211204,0.00016441
1616351,0.00566726,0.000213848,0.00016412
1619470,0.00570029,0.000212954,0.000182834
1628570,0.0057058,0.0002172,0.000164298
1629448,0.00573901,0.000218621,0.000164099
1641682,0.00578296,0.000208058,0.000164766
1642492,0.00576189,0.00021566,0.000164916
1643807,0.00577357,0.000215038,0.00016428
1646916,0.00577064,0.000235251,0.00016441
1661658,0.00583373,0.000220291,0.000164682
1670018,0.00585679,0.000222194,0.000164724
1681435,0.00589794,0.000251241,0.000172595
1696936,0.00595924,0.000217507,0.000172906
1698259,0.00597656,0.000231958,0.000173269
1744858,0.00616849,0.000237818,0.000173821
1753515,0.00620391,0.000209961,0.000174596
1756862,0.00617468,0.000210129,0.000174289
1781807,0.00624276,0.000222323,0.000179003
1811584,0.00634656,0.000218475,0.000180788
1814730,0.00637841,0.000216875,0.00018252
1826752,0.00641059,0.000225082,0.000182914
1831472,0.00642891,0.000217197,0.000182778
1834388,0.00643764,0.000235645,0.000182883
1841750,0.00645081,0.000221516,0.000183215
1858528,0.00654676,0.000221059,0.000188296
1867987,0.00655985,0.000219858,0.00018809
1868022,0.00656054,0.000216833,0.000188767
1880149,0.00664089,0.000225623,0.000189672
1900445,0.00687142,0.000282618,0.000238617
