WorkloadID,WorkloadDescription,SchedulerName,SchedulerType,StaticVariant,NumThreads,ChunkSize,ExecutionTimeMs,BaselineTimeMs,Speedup
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,27,N/A,5.0304,23.8435,4.7399
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,28,N/A,5.2195,23.8435,4.5682
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,29,N/A,4.2035,23.8435,5.6724
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,30,N/A,3.9069,23.8435,6.1029
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,31,N/A,4.2209,23.8435,5.6489
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,32,N/A,4.1918,23.8435,5.6882
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,33,N/A,3.1449,23.8435,7.5817
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,34,N/A,3.4980,23.8435,6.8164
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,35,N/A,4.1801,23.8435,5.7040
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,36,N/A,3.3404,23.8435,7.1379
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,37,N/A,2.7989,23.8435,8.5189
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,38,N/A,3.2607,23.8435,7.3124
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,39,N/A,3.3115,23.8435,7.2001
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,40,N/A,2.4975,23.8435,9.5469
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,41,N/A,2.8780,23.8435,8.2848
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,42,N/A,2.0984,23.8435,11.3626
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,43,N/A,2.5576,23.8435,9.3225
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,44,N/A,2.5552,23.8435,9.3315
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,45,N/A,2.8459,23.8435,8.3783
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,46,N/A,2.2981,23.8435,10.3753
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,47,N/A,2.4265,23.8435,9.8264
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,48,N/A,2.2583,23.8435,10.5584
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,49,N/A,2.9897,23.8435,7.9753
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,50,N/A,2.6070,23.8435,9.1458
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,51,N/A,2.5211,23.8435,9.4576
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,52,N/A,2.3563,23.8435,10.1192
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,53,N/A,2.5294,23.8435,9.4266
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,54,N/A,2.5814,23.8435,9.2365
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,55,N/A,2.3888,23.8435,9.9814
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,56,N/A,2.6332,23.8435,9.0550
